Année;jour;nombre
2012;Mercredi;542.0
2012;Jeudi;683.0
2014;Vendredi;1956.0
2012;Dimanche;0.0
2015;Samedi;5234.0
2019;Mercredi;425.0
2022;Mardi;309.0
2014;Lundi;775.0
2017;Mardi;373.0
2021;Lundi;544.0
2013;Mardi;327.0
2015;Lundi;671.0
2020;Vendredi;1272.0
2022;Lundi;485.0
2022;Dimanche;0.0
2011;Vendredi;1449.0
2018;Vendredi;1883.0
2020;Lundi;469.0
2020;Mardi;226.0
2021;Jeudi;794.0
2013;Jeudi;760.0
2014;Samedi;5373.0
2020;Jeudi;563.0
2021;Mardi;393.0
2021;Dimanche;0.0
2011;Samedi;5156.0
2013;Samedi;5330.0
2013;Dimanche;0.0
2015;Vendredi;1564.0
2017;Vendredi;1826.0
2018;Jeudi;757.0
2020;Mercredi;263.0
2022;Mercredi;422.0
2010;Mardi;358.0
2016;Samedi;5145.0
2019;Mardi;318.0
2019;Jeudi;728.0
2019;Dimanche;1.0
2010;Jeudi;742.0
2015;Dimanche;1.0
2018;Mardi;378.0
2014;Dimanche;0.0
2016;Jeudi;714.0
2017;Samedi;5013.0
2014;Mercredi;593.0
2019;Lundi;629.0
2017;Mercredi;433.0
2018;Mercredi;509.0
2019;Vendredi;1728.0
2020;Dimanche;0.0
2016;Dimanche;0.0
2017;Jeudi;809.0
2020;Samedi;3173.0
2010;Samedi;5114.0
2012;Lundi;669.0
2017;Dimanche;0.0
2018;Samedi;4947.0
2021;Mercredi;393.0
2021;Vendredi;1813.0
2022;Jeudi;821.0
2013;Vendredi;1769.0
2015;Mercredi;492.0
2015;Jeudi;756.0
2016;Mardi;386.0
2018;Dimanche;0.0
2021;Samedi;4239.0
2010;Lundi;684.0
2012;Mardi;272.0
2014;Jeudi;804.0
2015;Mardi;328.0
2018;Lundi;652.0
2010;Dimanche;1.0
2011;Dimanche;0.0
2013;Lundi;743.0
2014;Mardi;365.0
2017;Lundi;655.0
2011;Mardi;304.0
2011;Mercredi;541.0
2011;Jeudi;648.0
2013;Mercredi;514.0
2016;Vendredi;1787.0
2019;Samedi;4988.0
2010;Mercredi;586.0
2010;Vendredi;1710.0
2011;Lundi;629.0
2022;Vendredi;1862.0
2012;Vendredi;1688.0
2012;Samedi;5211.0
2016;Lundi;606.0
2016;Mercredi;490.0
2022;Samedi;4585.0
