Type d'acte;Année;Arrondissement;Nombres
Naissances;2006;7ème arrdt;0
Naissances;2006;10ème arrdt;2312
Naissances;2007;1er arrdt;2
Naissances;2011;9ème arrdt;3
Naissances;2013;7ème arrdt;1
Naissances;2014;1er arrdt;0
Naissances;2019;18ème arrdt;2095
Naissances;2021;9ème arrdt;5
Naissances;2022;19ème arrdt;2839
Naissances;2023;16ème arrdt;975
Reconnaissances;2005;3ème arrdt;182
Reconnaissances;2005;19ème arrdt;1650
Reconnaissances;2007;18ème arrdt;1374
Reconnaissances;2008;16ème arrdt;298
Reconnaissances;2010;1er arrdt;68
Reconnaissances;2012;4ème arrdt;93
Reconnaissances;2016;20ème arrdt;840
Reconnaissances;2018;10ème arrdt;585
Reconnaissances;2020;1er arrdt;23
Reconnaissances;2022;17ème arrdt;462
Mariages;2004;9ème arrdt;329
Mariages;2004;10ème arrdt;634
Mariages;2004;19ème arrdt;1170
Mariages;2005;2ème arrdt;150
Mariages;2005;15ème arrdt;1101
Mariages;2006;3ème arrdt;235
Mariages;2006;7ème arrdt;284
Mariages;2008;2ème arrdt;112
Mariages;2008;18ème arrdt;784
Mariages;2009;2ème arrdt;118
Mariages;2009;7ème arrdt;259
Mariages;2009;10ème arrdt;428
Mariages;2009;12ème arrdt;508
Mariages;2010;2ème arrdt;132
Mariages;2011;13ème arrdt;680
Mariages;2011;17ème arrdt;498
Mariages;2017;17ème arrdt;518
Mariages;2020;19ème arrdt;503
Mariages;2021;2ème arrdt;0
Mariages;2022;5ème arrdt;299
Mariages;2022;7ème arrdt;283
Mariages;2022;8ème arrdt;220
Décès;2005;10ème arrdt;1414
Décès;2006;4ème arrdt;349
Décès;2006;5ème arrdt;533
Décès;2007;1er arrdt;44
Décès;2007;8ème arrdt;122
Décès;2007;13ème arrdt;1918
Décès;2009;4ème arrdt;301
Décès;2009;13ème arrdt;2056
Décès;2010;3ème arrdt;50
Décès;2013;17ème arrdt;389
Décès;2013;20ème arrdt;1134
Décès;2014;13ème arrdt;2042
Décès;2015;2ème arrdt;29
Décès;2015;19ème arrdt;1140
Décès;2016;15ème arrdt;3436
Décès;2018;9ème arrdt;105
Décès;2018;18ème arrdt;1628
Décès;2019;1er arrdt;27
Décès;2019;2ème arrdt;30
Décès;2020;14ème arrdt;2639
Décès;2020;20ème arrdt;1395
Décès;2021;5ème arrdt;315
Décès;2021;16ème arrdt;885
Décès;2022;2ème arrdt;23
Décès;2022;6ème arrdt;136
PACS;2017;1er arrdt;27
PACS;2017;18ème arrdt;208
PACS;2017;20ème arrdt;159
PACS;2019;1er arrdt;67
PACS;2019;12ème arrdt;703
PACS;2020;2ème arrdt;78
PACS;2022;9ème arrdt;268
PACS;2023;16ème arrdt;254
Changements de prénom;2017;6ème arrdt;13
Changements de prénom;2017;7ème arrdt;8
Changements de prénom;2020;5ème arrdt;14
Changements de prénom;2020;15ème arrdt;67
Changements de prénom;2021;12ème arrdt;78
Changements de prénom;2022;7ème arrdt;12
Changements de prénom;2022;10ème arrdt;56
Changements de prénom;2022;12ème arrdt;125
